id,name,status,visual,unreal,triangles,dimensions_m,notes
commons_commons_architecture,Commons Architecture,prepared,context_review,passed,864,"[16.7239, 26.8744, 8.4114]","Standalone geometry preview checked; finish scale, reflections, transparency and seams must be judged in the assembled common-area lighting."
commons_architectural_glazing,Architectural Glazing,prepared,context_review,passed,76,"[16.2361, 17.4368, 8.1614]","Standalone geometry preview checked; finish scale, reflections, transparency and seams must be judged in the assembled common-area lighting."
commons_architectural_frames,Architectural Frames,prepared,context_review,passed,800,"[16.2971, 17.4978, 8.1614]","Standalone geometry preview checked; finish scale, reflections, transparency and seams must be judged in the assembled common-area lighting."
commons_commons_banners,Commons Banners,prepared,needs_refinement,passed,36,"[0.025, 9.7, 2.1]",Prepared fitted/test geometry; visible fine detail or graphics are insufficient for hero close-ups. Retained as a clearly labeled test candidate.
commons_fireplace_surround,Fireplace Surround,prepared,context_review,passed,52,"[2.95, 1.42, 8.4]","Standalone geometry preview checked; finish scale, reflections, transparency and seams must be judged in the assembled common-area lighting."
commons_cafe_u_counter,Cafe U Counter,prepared,needs_refinement,passed,240,"[3.4394, 2.5351, 1.03]","Fitted reference geometry exported with improved materials. Still too simple for AAA close-up use: bevels, controls, seams and service details require a higher-detail replacement or modeling pass."
commons_cafe_back_counter,Cafe Back Counter,prepared,needs_refinement,passed,1412,"[0.58, 3.65, 0.895]","Fitted reference geometry exported with improved materials. Still too simple for AAA close-up use: bevels, controls, seams and service details require a higher-detail replacement or modeling pass."
commons_cafe_sink_pou_heater,Cafe Sink Pou Heater,prepared,needs_refinement,passed,524,"[0.44, 0.47, 1.019]","Fitted reference geometry exported with improved materials. Still too simple for AAA close-up use: bevels, controls, seams and service details require a higher-detail replacement or modeling pass."
commons_projector_and_cassette,Projector And Cassette,prepared,needs_refinement,passed,428,"[4.7176, 3.1, 4.45]",Prepared fitted/test geometry; visible fine detail or graphics are insufficient for hero close-ups. Retained as a clearly labeled test candidate.
commons_projection_screen,Projection Screen,prepared,context_review,passed,56,"[0.048, 2.98, 1.864]","Standalone geometry preview checked; finish scale, reflections, transparency and seams must be judged in the assembled common-area lighting."
commons_dining_table,Dining Table,ready_for_testing,passed,passed,3600,"[0.83, 1.72, 0.7575]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_communal_table,Communal Table,ready_for_testing,passed,passed,3600,"[0.9, 3.4, 0.7575]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_round_dining_table,Round Dining Table,ready_for_testing,passed,passed,3060,"[1.04, 1.04, 0.745]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_collaboration_stool,Collaboration Stool,ready_for_testing,passed,passed,5100,"[0.41, 0.41, 0.48]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_upholstered_bench,Upholstered Bench,ready_for_testing,passed,passed,900,"[2.5, 0.63, 0.505]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_pendant_0,Pendant 0,ready_for_testing,passed,passed,1096,"[1.87, 1.87, 1.6625]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_pendant_1,Pendant 1,ready_for_testing,passed,passed,1096,"[1.37, 1.37, 1.5625]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_pendant_2,Pendant 2,ready_for_testing,passed,passed,1096,"[1.87, 1.87, 1.5625]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_pendant_3,Pendant 3,ready_for_testing,passed,passed,1096,"[1.37, 1.37, 1.6625]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_shared_ground_floor,Shared Ground Floor,prepared,context_review,passed,76,"[64.4708, 39.7889, 0.25]","Standalone geometry preview checked; finish scale, reflections, transparency and seams must be judged in the assembled common-area lighting."
commons_shared_ceiling,Shared Ceiling,prepared,context_review,passed,72,"[57.7095, 31.3859, 0.25]","Standalone geometry preview checked; finish scale, reflections, transparency and seams must be judged in the assembled common-area lighting."
commons_fireplace_logs,Fireplace Logs,prepared,needs_refinement,passed,2004,"[1.0792, 0.4344, 0.2499]",Prepared fitted/test geometry; visible fine detail or graphics are insufficient for hero close-ups. Retained as a clearly labeled test candidate.
commons_coffee_cup_saucer,Coffee Cup Saucer,ready_for_testing,passed,passed,3072,"[0.154, 0.154, 0.098]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_takeaway_cup,Takeaway Cup,ready_for_testing,passed,passed,1792,"[0.092, 0.092, 0.132]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_serving_tray,Serving Tray,ready_for_testing,passed,passed,940,"[0.39, 0.28, 0.029]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_stone_side_table,Stone Side Table,ready_for_testing,passed,passed,376,"[0.68, 0.68, 0.4525]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_waste_bin,Waste Bin,ready_for_testing,passed,passed,1024,"[0.36, 0.36, 0.57]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_menu_stand,Menu Stand,prepared,needs_artwork,passed,376,"[0.15, 0.09, 0.245]",Blank menu holder geometry and materials are prepared; café menu typography/artwork remains to be supplied or designed.
commons_refined_cafe_refrigerated_display_1,Refined Cafe Refrigerated Display 1,ready_for_testing,passed,passed,4136,"[0.53, 0.6455, 0.66]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_refined_cafe_refrigerated_display_2,Refined Cafe Refrigerated Display 2,ready_for_testing,passed,passed,4136,"[0.53, 0.6455, 0.66]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_refined_cafe_undercounter_refrigerator,Refined Cafe Undercounter Refrigerator,ready_for_testing,passed,passed,2632,"[0.712, 0.6415, 0.825]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_refined_cafe_undercounter_ice_machine,Refined Cafe Undercounter Ice Machine,ready_for_testing,passed,passed,3008,"[0.712, 0.6485, 0.825]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_refined_cafe_turbo_oven,Refined Cafe Turbo Oven,ready_for_testing,passed,passed,4636,"[0.573, 0.7095, 0.49]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_refined_cafe_pos_ipad_1,Refined Cafe Pos Ipad 1,ready_for_testing,passed,passed,1704,"[0.26, 0.19, 0.42]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_refined_cafe_pos_ipad_2,Refined Cafe Pos Ipad 2,ready_for_testing,passed,passed,1704,"[0.26, 0.19, 0.42]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_boundary_wood_trim,Boundary Wood Trim,prepared,context_review,passed,12,"[0.05, 13.0, 1.8]",Shared boundary trim added by spatial audit; final joints and material scale need assembled-context review.
commons_library_sketchfab_modern_sofa,Modern upholstered sofa,ready_for_testing,passed,passed,33770,"[2.5, 0.9796, 0.7521]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_library_sketchfab_eames_chair,Eames-style café chair,ready_for_testing,passed,passed,11568,"[0.5399, 0.506, 0.8198]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_library_modern_arm_chair_01,Lounge armchair,ready_for_testing,passed,passed,8916,"[0.8203, 0.9866, 1.0229]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_library_modern_coffee_table_01,Oak coffee table,ready_for_testing,passed,passed,4504,"[0.6, 1.2018, 0.39]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_library_modern_coffee_table_02,Secondary coffee table,prepared,rejected,passed,13645,"[1.1991, 1.1997, 0.3692]",Render shows an exposed stacked polygon framework and an opaque slab; rejected for the selected commons design. Use the prepared stone side table instead.
commons_library_potted_plant_04,Tabletop plant,ready_for_testing,passed,passed,8929,"[0.1679, 0.1848, 0.2675]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_library_potted_plant_02_LOD1,Indoor floor plant,ready_for_testing,passed,passed,19997,"[0.9812, 0.9199, 1.1783]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_library_modern_cabinet_static,Modern storage cabinet,ready_for_testing,passed,passed,24976,"[2.44, 0.52, 0.6801]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps."
commons_library_sanremo_runtime,Sanremo F18 optimized static assembly,ready_for_testing,passed,passed,120000,"[1.0659, 0.6925, 0.477]","Studio render accepted for scene testing. Final lighting, placement, close-up detail and runtime performance remain separate acceptance steps. Corrected cm-to-m scale; 1.066 m wide. Counter fit needs adjustment from the smaller proxy. Runtime variant is 120,000 triangles, one mesh and 18 material slots; 280,344-triangle original retained."
commons_library_pastry_refrigerator,Pastry display refrigerator,prepared,alternative,passed,7737,"[1.5, 1.0689, 1.5158]",Glass shader repaired and verified in the new render. Curved grocery-style case is a backup; the fitted rectangular detailed displays are selected for the modern café. No food dressing included.
