id,floor,opening_width_mm,opening_height_mm,leaves,appearance,basis
Athletics_west_door0,GROUND,1808.6,2134,2,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Athletics_south_door0,GROUND,1010.7,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Athletics_south_door1,GROUND,957.5,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Athletics_south_door2,GROUND,957.5,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Trainer_office_wall_door0,GROUND,1063.9,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Trainer_office_wall_door1,GROUND,1063.9,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Athletics_east_door0,GROUND,1063.9,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
North_corridor_entry_door0,GROUND,1702.2,2134,2,glazed,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
North_corridor_entry_door1,GROUND,1595.8,2134,2,glazed,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Locker122_east_door0,GROUND,1063.9,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Locker121_east_door0,GROUND,1063.9,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Locker122_wet_partition_door0,GROUND,1170.3,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Locker121_wet_partition_door0,GROUND,1170.3,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
West_entry_storefront_door1,GROUND,1063.9,2134,1,glazed,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
West_entry_storefront_door3,GROUND,1808.6,2134,2,glazed,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Athletic_store_east_door0,GROUND,957.5,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Janitor_north_door0,GROUND,957.5,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Restrooms_north_door0,GROUND,1063.9,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Restrooms_north_door1,GROUND,1063.9,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Corridor_stair_boundary_door0,GROUND,1808.6,2134,2,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Corridor_stair_boundary_door1,GROUND,1063.9,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Lift_B_s_door0,GROUND,1063.9,2134,1,lift,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
StairB_north_door0,GROUND,1808.6,2134,2,vision,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
